method,T,T,T,T,T,T,rankdice,rankdice,rankdice,rankdice,rankdice,rankdice
metric,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU
loss,CE,CE,Focal,Focal,BCE,BCE,CE,CE,Focal,Focal,BCE,BCE
0,0.857,0.772,0.861,0.779,0.922,0.461,0.856,0.771,0.86,0.777,0.922,0.461
1,0.573,0.478,0.536,0.438,0.438,0.219,0.608,0.508,0.587,0.484,0.54,0.27
2,0.846,0.762,0.834,0.748,0.794,0.397,0.851,0.767,0.836,0.747,0.821,0.41
3,0.174,0.136,0.161,0.124,0.049,0.024,0.21,0.164,0.215,0.168,0.083,0.042
4,0.147,0.109,0.124,0.089,0.152,0.076,0.158,0.117,0.137,0.098,0.191,0.095
5,0.419,0.29,0.347,0.234,0.271,0.135,0.46,0.317,0.356,0.231,0.364,0.182
6,0.349,0.265,0.315,0.24,0.187,0.094,0.374,0.283,0.335,0.247,0.213,0.106
7,0.499,0.39,0.459,0.351,0.353,0.176,0.514,0.401,0.466,0.351,0.396,0.198
8,0.902,0.841,0.902,0.838,0.89,0.445,0.903,0.841,0.896,0.828,0.894,0.447
9,0.257,0.201,0.241,0.185,0.198,0.099,0.294,0.231,0.287,0.227,0.253,0.127
10,0.836,0.77,0.82,0.752,0.801,0.4,0.845,0.778,0.831,0.762,0.807,0.403
11,0.451,0.363,0.426,0.341,0.328,0.164,0.495,0.4,0.476,0.382,0.386,0.193
12,0.351,0.273,0.312,0.24,0.186,0.093,0.372,0.292,0.339,0.263,0.24,0.12
13,0.841,0.769,0.834,0.762,0.808,0.404,0.84,0.766,0.818,0.74,0.812,0.406
14,0.247,0.219,0.256,0.227,0.218,0.109,0.266,0.233,0.281,0.248,0.268,0.134
15,0.468,0.422,0.488,0.438,0.363,0.182,0.513,0.465,0.515,0.468,0.392,0.196
16,0.349,0.307,0.363,0.31,0.338,0.169,0.358,0.315,0.373,0.322,0.347,0.174
17,0.197,0.158,0.204,0.161,0.07,0.035,0.222,0.177,0.211,0.168,0.087,0.044
18,0.414,0.325,0.421,0.329,0.329,0.165,0.419,0.326,0.42,0.325,0.367,0.184
